,index,cause,effect,conceptual_explanation,t1,t2,t3,t1_filtered,t2_filtered,t3_filtered
1768,dev-1768,I had a margay.,I bought fruit for it.,Margays eat fruit.,what did i buy for the margay?,did i buy fruit for the margay?,what was the margay?,what did i buy for the margay?,did i buy fruit for the margay?,what was the margay?
1769,dev-1769,He wanted some paraffin.,He created a substitution reaction.,Paraffins react by substitution.,who created a substitution reaction?,what was the cause of the substitution reaction?,who created the substitution reaction?,who created a substitution reaction?,what was the cause of the substitution reaction?,who created the substitution reaction?
1770,dev-1770,The summary of Tom's paper had a mistake.,Professors picked the mistake up immediately.,Summaries receive attention.,what was tom's paper was a mistake?,what was the cause of the mistake?,who picked up the mistake?,what was tom's paper was a mistake?,what was the cause of the mistake?,who picked up the mistake?
1771,dev-1771,The altimeter malfunctions and fails to measurie atmospheric pressure.,The plane's altitude cannot be determined.,Altimeters determine a plane's altitude by measuring atmospheric pressure.,what happens when the altimeter malfunctions?,what is the cause of the altimeter malfunction?,what cannot be determined?,what happens when the altimeter malfunctions?,what is the cause of the altimeter malfunction?,what cannot be determined?
1772,dev-1772,Steven yearns for the results of the college entrance examination.,"Naturally, Steven is always in a state of anxiety.",Anxiety is the natural state of human nature.,"why does Steven yearns for the results of the college entrance examination cause Naturally, Steven is always in a state of anxiety?",what causes steven to yearn for the results of the college entrance examination?,steven is always in a state of anxiety because he yearns for the results of what?,"why does Steven yearns for the results of the college entrance examination cause Naturally, Steven is always in a state of anxiety?",what causes steven to yearn for the results of the college entrance examination?,steven is always in a state of anxiety because he yearns for the results of what?
1773,dev-1773,"Tom put sweat, tears and saliva on the silk.",Silk has different variations.,Perspiration makes silk yellow.,what kind of variations does the silk have?,what is the cause of different variations in silk?,what is the process of making silk called?,what kind of variations does the silk have?,what is the cause of different variations in silk?,what is the process of making silk called?
1774,dev-1774,Mike became a superman in his dreams.,He thought he can fly even when awake.,Dreaming cause confusion.,mike became a superman in his dreams?,what effect did mike become a superman in his dreams?,"mike became a superman in his dreams, but mike became a superman?",mike became a superman in his dreams?,what effect did mike become a superman in his dreams?,"mike became a superman in his dreams, but mike became a superman?"
1775,dev-1775,A fly was capture by a spider.,The fly was eaten by the spider.,Arachnids are generally hunters.,what happened to a fly that was captured by a spider?,what happened to a fly that was captured by a spider?,why was a fly captured by a spider?,what happened to a fly that was captured by a spider?,what happened to a fly that was captured by a spider?,why was a fly captured by a spider?
1776,dev-1776,Now we are tourists.,We start our trips.,Tourists begin trips.,are we now tourists such as we start trips?,what is the cause?,why do we start trips because now we are tourists?,are we now tourists such as we start trips?,what is the cause?,why do we start trips because now we are tourists?
1777,dev-1777,There is a bee on the periwinkle.,The periwinkle has no reaction.,Periwinkles are vegetarians.,the bee on the periwinkle has a bee on the periwinkle?,why does There is a bee on the periwinkle cause The periwinkle has no reaction?,why does There is a bee on the periwinkle cause The periwinkle has no reaction?,the bee on the periwinkle has a bee on the periwinkle?,why does There is a bee on the periwinkle cause The periwinkle has no reaction?,why does There is a bee on the periwinkle cause The periwinkle has no reaction?
1778,dev-1778,The amateur observed the shape of moon via images from satellites.,Its shape ranges from highly irregular to sphere.,Moons range in shape from highly irregular to spheres.,what is the shape of the moon?,what is the cause of the irregular shape of the moon?,why does The amateur observed the shape of moon via images from satellites cause Its shape ranges from highly irregular to sphere?,what is the shape of the moon?,what is the cause of the irregular shape of the moon?,why does The amateur observed the shape of moon via images from satellites cause Its shape ranges from highly irregular to sphere?
